company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
Allied Blenders & Distillers Ltd.,Mainboard,ABDL,INE552Z01027,2,early pivot reclaim,2024-08-22,2024-08-23,335.0,308.2,385.25,2024-10-22,302.7,stop -8%,41,-10.64,7.4
Petro Carbon & Chemicals Ltd.,SME,PCCL,INE998U01015,3,early pivot reclaim,2024-08-22,2024-08-23,312.0,287.04,358.8,2024-09-02,281.3,stop -8%,6,-11.34,0.1
Broach Lifecare Hospital Ltd.,SME,BROACH,INE0SFZ01018,1,early pivot reclaim,2024-08-22,2024-08-23,51.8,47.66,59.57,2024-08-26,47.27,stop -8%,1,-10.25,0.0
Solve Plastic Products Ltd.,SME,BALCO,INE0U0201016,1,early pivot reclaim,2024-08-22,2024-08-23,106.85,98.3,122.88,2024-08-27,96.45,stop -8%,2,-11.23,0.0
Bansal Wire Industries Ltd.,Mainboard,BANSALWIRE,INE0B9K01025,2,early pivot reclaim,2024-08-26,2024-08-27,375.0,345.0,431.25,2025-02-17,341.95,stop -8%,120,-9.81,30.2
Brace Port Logistics Ltd.,SME,BRACEPORT,INE0R4Z01018,1,early pivot reclaim,2024-08-27,2024-08-28,175.9,161.83,202.28,2024-09-02,156.3,stop -8%,3,-12.64,0.0
Kronox Lab Sciences Ltd.,Mainboard,KRONOX,INE0ATZ01017,1,late bloomer (vol-confirmed),2024-08-28,2024-08-29,179.0,164.68,205.85,2024-09-27,162.33,stop -8%,21,-10.31,8.0
Orient Technologies Ltd.,Mainboard,ORIENTTECH,INE0PPK01015,1,early pivot reclaim,2024-08-29,2024-08-30,315.9,290.63,363.28,2024-09-25,289.85,stop -8%,18,-9.25,5.5
Ideal Technoplast Industries Ltd.,SME,IDEALTECHO,INE0T9I01011,1,early pivot reclaim,2024-08-29,2024-08-30,138.35,127.28,159.1,2024-09-03,127.15,stop -8%,2,-9.6,1.8
Juniper Hotels Ltd.,Mainboard,JUNIPER,INE696F01016,3,early pivot reclaim,2024-08-30,2024-09-02,415.0,381.8,477.25,2024-09-16,376.35,stop -8%,10,-10.31,1.3
Resourceful Automobile Ltd.,SME,RAL,INE0SK201011,1,early pivot reclaim,2024-08-30,2024-09-02,120.0,110.4,138.0,2024-09-04,107.35,stop -8%,2,-12.04,0.0
Kataria Industries Ltd.,SME,KATARIA,INE0SVY01018,3,early pivot reclaim,2024-09-02,2024-09-03,192.7,177.28,221.6,2024-12-06,172.95,stop -8%,65,-11.75,14.9
Krystal Integrated Services Ltd.,Mainboard,KRYSTAL,INE0QN801017,3,early pivot reclaim,2024-09-04,2024-09-05,830.0,763.6,954.5,2024-09-26,745.55,stop -8%,15,-11.17,0.0
Jay Bee Laminations Ltd.,SME,JAYBEE,INE0SMY01017,1,early pivot reclaim,2024-09-04,2024-09-05,321.05,295.37,369.21,2024-09-17,289.95,stop -8%,8,-11.19,5.0
Vdeal System Ltd.,SME,VDEAL,INE0U2M01015,1,early pivot reclaim,2024-09-04,2024-09-05,194.5,178.94,223.68,2024-09-09,177.6,stop -8%,2,-10.19,1.2
Premier Energies Ltd.,Mainboard,PREMIERENE,INE0BS701011,1,early pivot reclaim,2024-09-05,2024-09-06,1010.0,929.2,1161.5,2025-01-27,932.4,trail (30% off peak after +15%),97,-8.68,36.0
ECOS (India) Mobility & Hospitality Ltd.,Mainboard,ECOSMOBLTY,INE06HJ01020,1,early pivot reclaim,2024-09-05,2024-09-06,478.7,440.4,550.5,2024-09-06,438.95,stop -8%,0,-9.3,0.0
Aeron Composite Ltd.,SME,AERON,INE0WL801011,1,early pivot reclaim,2024-09-05,2024-09-06,173.6,159.71,199.64,2024-09-12,152.4,stop -8%,4,-13.71,0.0
Paramatrix Technologies Ltd.,SME,PARAMATRIX,INE0S2W01018,1,early pivot reclaim,2024-09-05,2024-09-06,133.1,122.45,153.06,2024-09-06,120.9,stop -8%,0,-10.67,0.0
Indegene Ltd.,Mainboard,INDGN,INE065X01017,1,late bloomer (vol-confirmed),2024-09-06,2024-09-09,670.0,616.4,770.5,2024-12-09,593.1,stop -8%,62,-12.48,9.4
Travels & Rentals Ltd.,SME,TRAVELS,INE0SG001011,1,early pivot reclaim,2024-09-06,2024-09-09,63.66,58.57,73.21,2024-10-23,106.4,trail (30% off peak after +15%),31,65.64,140.5
ECOS (India) Mobility & Hospitality Ltd.,Mainboard,ECOSMOBLTY,INE06HJ01020,2,early pivot reclaim,2024-09-09,2024-09-10,500.0,460.0,575.0,2024-09-30,452.65,stop -8%,14,-10.47,18.0
Vraj Iron & Steel Ltd.,Mainboard,VRAJ,INE0S2V01010,2,early pivot reclaim,2024-09-11,2024-09-12,266.2,244.9,306.13,2024-09-17,242.64,stop -8%,3,-9.85,0.0
Stanley Lifestyles Ltd.,Mainboard,STANLEY,INE01A001028,2,early pivot reclaim,2024-09-13,2024-09-16,511.25,470.35,587.94,2024-10-07,455.25,stop -8%,14,-11.95,0.0
Shree Tirupati Balajee Agro Trading Co.Ltd.,Mainboard,BALAJEE,INE0S2G01011,1,early pivot reclaim,2024-09-13,2024-09-16,97.9,90.07,112.58,2024-09-17,89.53,stop -8%,1,-9.55,0.0
Bajaj Housing Finance Ltd.,Mainboard,BAJAJHFL,INE377Y01014,1,early pivot reclaim,2024-09-17,2024-09-18,181.0,166.52,208.15,2024-09-19,160.12,stop -8%,1,-12.54,0.0
Shubhshree Biofuels Energy Ltd.,SME,SHUBHSHREE,INE0UL701015,1,early pivot reclaim,2024-09-17,2024-09-18,218.75,201.25,251.56,2025-02-14,313.35,trail (30% off peak after +15%),97,41.75,104.8
TBI Corn Ltd.,SME,TBI,INE0N2D01013,2,early pivot reclaim,2024-09-18,2024-09-19,215.9,198.63,248.28,2024-09-27,196.65,stop -8%,6,-10.42,0.4
Vraj Iron & Steel Ltd.,Mainboard,VRAJ,INE0S2V01010,3,early pivot reclaim,2024-09-18,2024-09-19,253.65,233.36,291.7,2024-10-21,231.55,stop -8%,21,-9.71,11.3
Innomet Advanced Materials Ltd.,SME,INNOMET,INE0S1D01010,1,early pivot reclaim,2024-09-19,2024-09-20,218.8,201.3,251.62,2024-10-16,200.15,stop -8%,17,-10.02,16.3
Interarch Building Products Ltd.,Mainboard,INTERARCH,INE00M901018,1,early pivot reclaim,2024-09-20,2024-09-23,1331.95,1225.39,1531.74,2025-03-18,1424.6,"time (120 sessions, unproven)",120,5.96,40.0
Gala Precision Engineering Ltd.,Mainboard,GALAPREC,INE0RE001014,1,early pivot reclaim,2024-09-23,2024-09-24,802.95,738.71,923.39,2024-10-07,732.0,stop -8%,8,-9.84,3.2
Sodhani Academy of Fintech Enablers Ltd.,SME,SAFE,INE0Q3401017,1,early pivot reclaim,2024-09-24,2024-09-25,61.35,56.44,70.55,2025-12-17,234.0,trail (30% off peak after +15%),265,279.92,452.4
Namo eWaste Management Ltd.,SME,NAMOEWASTE,INE08NZ01012,1,early pivot reclaim,2024-09-25,2024-09-26,200.0,184.0,230.0,2024-10-03,178.3,stop -8%,4,-12.35,0.0
Pelatro Ltd.,SME,PELATRO,INE0VG601013,1,early pivot reclaim,2024-09-25,2024-09-26,303.0,278.76,348.45,2024-09-27,278.6,stop -8%,1,-9.55,0.0
Envirotech Systems Ltd.,SME,ENVIRO,INE0SUH01015,1,early pivot reclaim,2024-09-25,2024-09-26,123.1,113.25,141.56,2024-10-17,109.35,stop -8%,14,-12.67,14.8
