company,board,symbol,isin,trade_no,entry_type,signal_date,entry_date,entry,stop,target1,exit_date,exit_price,exit_reason,hold_sessions,pnl_pct,peak_gain_pct
Paradeep Parivahan Ltd.,SME,PPARIVAH,INE0SMW01011,1,early pivot reclaim,2025-03-25,2025-03-26,90.75,83.49,104.36,2025-03-26,82.11,stop -8%,0,-11.02,0.0
Eleganz Interiors Ltd.,SME,ELGNZ,INE0R9101015,1,late bloomer (vol-confirmed),2025-03-27,2025-03-28,121.45,111.73,139.67,2025-04-07,106.25,stop -8%,5,-14.02,0.6
Paradeep Parivahan Ltd.,SME,PPARIVAH,INE0SMW01011,2,early pivot reclaim,2025-03-27,2025-03-28,85.95,79.07,98.84,2026-07-13,218.65,OPEN,312,154.39,167.0
Rajputana Industries Ltd.,SME,RAJINDLTD,INE0PCU01012,3,early pivot reclaim,2025-04-01,2025-04-02,78.75,72.45,90.56,2025-05-09,72.0,stop -8%,22,-10.07,4.8
Grand Continent Hotels Ltd.,SME,GCHOTELS,INE12E301017,1,early pivot reclaim,2025-04-01,2025-04-02,112.1,103.13,128.92,2025-11-24,161.7,trail (30% off peak after +15%),157,42.75,113.6
Freshara Agro Exports Ltd.,SME,FRESHARA,INE0SFW01015,3,early pivot reclaim,2025-04-02,2025-04-03,137.5,126.5,158.12,2025-09-30,169.6,"time (120 sessions, unproven)",122,21.85,51.6
Desco Infratech Ltd.,SME,DESCO,INE0TGG01014,1,early pivot reclaim,2025-04-02,2025-04-03,170.0,156.4,195.5,2025-11-11,219.6,"time (120 sessions, unproven)",149,27.68,68.2
Shri Ahimsa Naturals Ltd.,SME,SHRIAHIMSA,INE0DM401012,1,early pivot reclaim,2025-04-03,2025-04-04,154.5,142.14,177.68,2025-04-07,140.15,stop -8%,1,-10.79,0.0
Techera Engineering (India) Ltd.,SME,TECHERA,INE0JQS01019,3,early pivot reclaim,2025-04-03,2025-04-07,118.2,108.74,135.93,2025-12-02,225.45,trail (30% off peak after +15%),161,89.24,175.3
Identixweb Ltd.,SME,IDENTIXWEB,INE0PA401012,1,early pivot reclaim,2025-04-04,2025-04-07,63.66,58.57,73.21,2025-10-31,68.98,"time (120 sessions, unproven)",120,6.86,32.9
Toss The Coin Ltd.,SME,TTC,INE0XAY01012,3,early pivot reclaim,2025-04-09,2025-04-11,381.8,351.26,439.07,2025-05-08,347.2,stop -8%,16,-10.56,10.2
Spinaroo Commercial Ltd.,SME,SPINAROO,INE10XX01012,1,early pivot reclaim,2025-04-11,2025-04-15,59.6,54.83,68.54,2025-08-01,55.65,trail (30% off peak after +15%),58,-8.13,35.6
Mason Infratech Ltd.,SME,MASON,INE0SH001010,3,early pivot reclaim,2025-04-15,2025-04-16,95.1,87.49,109.36,2026-03-09,146.75,trail (30% off peak after +15%),221,52.81,125.0
Rapid Fleet Management Services Ltd.,SME,RAPIDFLEET,INE0QX901013,1,early pivot reclaim,2025-04-16,2025-04-17,207.0,190.44,238.05,2025-06-26,190.3,stop -8%,39,-9.57,2.9
Eleganz Interiors Ltd.,SME,ELGNZ,INE0R9101015,2,early pivot reclaim,2025-04-17,2025-04-21,127.85,117.62,147.03,2025-10-10,130.15,"time (120 sessions, unproven)",120,0.3,23.7
Shri Ahimsa Naturals Ltd.,SME,SHRIAHIMSA,INE0DM401012,2,early pivot reclaim,2025-04-17,2025-04-21,156.0,143.52,179.4,2026-07-13,386.0,OPEN,302,147.44,181.2
CLN Energy Ltd.,SME,CLN,INE0WDX01010,3,early pivot reclaim,2025-04-22,2025-04-23,300.9,276.83,346.04,2025-12-04,422.0,trail (30% off peak after +15%),151,38.75,109.9
Waaree Energies Ltd.,Mainboard,WAAREEENER,INE377N01017,3,early pivot reclaim,2025-04-23,2025-04-24,2920.0,2686.4,3358.0,2025-04-25,2676.5,stop -8%,1,-9.34,0.0
ATC Energies System Ltd.,SME,ATCENERGY,INE0V0Q01019,1,early pivot reclaim,2025-04-24,2025-04-25,111.85,102.9,128.63,2025-04-28,98.85,stop -8%,1,-13.12,0.0
ATC Energies System Ltd.,SME,ATCENERGY,INE0V0Q01019,2,early pivot reclaim,2025-04-29,2025-04-30,109.45,100.69,125.87,2025-05-06,99.3,stop -8%,3,-10.77,0.0
Vishal Mega Mart Ltd.,Mainboard,VMM,INE01EA01019,2,early pivot reclaim,2025-04-30,2025-05-02,115.95,106.67,133.34,2025-10-23,146.43,"time (120 sessions, unproven)",120,25.29,32.1
Quadrant Future Tek Ltd.,Mainboard,QUADFUTURE,INE0LRY01011,3,early pivot reclaim,2025-05-08,2025-05-09,436.0,401.12,501.4,2025-08-06,397.35,stop -8%,63,-9.86,18.8
Arunaya Organics Ltd.,SME,ARUNAYA,INE0TTG01017,1,early pivot reclaim,2025-05-08,2025-05-09,34.8,32.02,40.02,2025-06-18,32.4,trail (30% off peak after +15%),28,-8.4,33.0
ATC Energies System Ltd.,SME,ATCENERGY,INE0V0Q01019,3,early pivot reclaim,2025-05-12,2025-05-13,106.6,98.07,122.59,2025-05-15,95.75,stop -8%,2,-11.68,0.0
Kenrik Industries Ltd.,SME,KENRIK,INE0AOG01018,1,early pivot reclaim,2025-05-12,2025-05-13,26.4,24.29,30.36,2025-05-15,23.65,stop -8%,2,-11.92,0.0
Srigee DLM Ltd.,SME,SRIGEE,INE0RJ901010,1,early pivot reclaim,2025-05-13,2025-05-14,217.0,199.64,249.55,2025-08-20,219.45,trail (30% off peak after +15%),53,-0.37,47.2
Tankup Engineers Ltd.,SME,TANKUP,INE0Z7N01017,1,early pivot reclaim,2025-05-15,2025-05-16,201.0,184.92,231.15,2026-02-04,542.85,trail (30% off peak after +15%),161,168.57,298.8
Hexaware Technologies Ltd.,Mainboard,HEXT,INE093A01041,2,early pivot reclaim,2025-05-20,2025-05-21,790.0,726.8,908.5,2025-07-29,719.25,stop -8%,49,-9.96,12.8
Enviro Infra Engineers Ltd.,Mainboard,EIEL,INE0LLY01014,3,early pivot reclaim,2025-05-26,2025-05-27,244.0,224.48,280.6,2025-06-12,223.02,stop -8%,12,-9.6,3.4
Standard Glass Lining Technology Ltd.,Mainboard,SGLTL,INE0M4D01010,2,early pivot reclaim,2025-05-29,2025-05-30,191.04,175.76,219.7,2025-06-13,171.36,stop -8%,10,-11.3,2.2
Unified Data-Tech Solutions Ltd.,SME,UNIFIED,INE1ABX01018,1,early pivot reclaim,2025-05-30,2025-06-02,315.0,289.8,362.25,2025-06-04,287.2,stop -8%,2,-10.33,0.0
Aegis Vopak Terminals Ltd.,Mainboard,AEGISVOPAK,INE0INX01018,1,early pivot reclaim,2025-06-03,2025-06-04,258.49,237.81,297.26,2025-06-13,235.7,stop -8%,7,-9.82,3.1
Blue Water Logistics Ltd.,SME,BLUEWATER,INE0X3M01010,1,early pivot reclaim,2025-06-04,2025-06-05,162.35,149.36,186.7,2025-08-29,149.0,stop -8%,59,-9.72,13.2
Scoda Tubes Ltd.,Mainboard,SCODATUBES,INE090501011,1,early pivot reclaim,2025-06-05,2025-06-06,155.5,143.06,178.82,2025-11-28,169.17,"time (120 sessions, unproven)",120,7.79,36.7
Nikita Papers Ltd.,SME,NIKITA,INE0FLF01015,1,early pivot reclaim,2025-06-06,2025-06-09,99.6,91.63,114.54,2025-07-02,91.2,stop -8%,17,-9.93,4.2
Belrise Industries Ltd.,Mainboard,BELRISE,INE894V01022,1,early pivot reclaim,2025-06-09,2025-06-10,104.4,96.05,120.06,2026-07-13,236.56,OPEN,268,126.59,137.1
Unified Data-Tech Solutions Ltd.,SME,UNIFIED,INE1ABX01018,2,early pivot reclaim,2025-06-09,2025-06-10,303.0,278.76,348.45,2025-12-02,376.65,"time (120 sessions, unproven)",120,22.81,60.6
Astonea Labs Ltd.,SME,ASTONEALAB,INE0TG901011,1,early pivot reclaim,2025-06-09,2025-06-10,145.0,133.4,166.75,2025-12-10,153.05,"time (120 sessions, unproven)",120,4.05,25.7
Neptune Petrochemicals Ltd.,SME,NEPTUNE,INE156901014,1,early pivot reclaim,2025-06-11,2025-06-12,142.45,131.05,163.82,2025-12-04,175.8,"time (120 sessions, unproven)",120,21.91,27.3
Sacheerome Ltd.,SME,SACHEEROME,INE1ARD01016,1,early pivot reclaim,2025-06-17,2025-06-18,170.25,156.63,195.79,2025-06-19,152.35,stop -8%,1,-12.01,0.0
Aegis Vopak Terminals Ltd.,Mainboard,AEGISVOPAK,INE0INX01018,2,early pivot reclaim,2025-06-18,2025-06-19,246.66,226.93,283.66,2025-12-11,246.7,"time (120 sessions, unproven)",120,-0.98,18.9
Prostarm Info Systems Ltd.,Mainboard,PROSTARM,INE0BX301013,1,early pivot reclaim,2025-06-20,2025-06-23,133.0,122.36,152.95,2025-11-04,164.16,trail (30% off peak after +15%),92,22.43,80.2
Monolithisch India Ltd.,SME,MONOLITH,INE1DV401010,1,early pivot reclaim,2025-06-24,2025-06-25,267.35,245.96,307.45,2026-03-10,406.05,trail (30% off peak after +15%),175,50.38,117.6
Patil Automation Ltd.,SME,PATILAUTOM,INE17GV01016,1,early pivot reclaim,2025-06-24,2025-06-25,179.35,165.0,206.25,2025-10-13,169.8,trail (30% off peak after +15%),75,-6.82,35.6
Ather Energy Ltd.,Mainboard,ATHERENERG,INE0LEZ01016,1,late bloomer (vol-confirmed),2025-06-25,2025-06-26,337.95,310.91,388.64,2026-07-13,1184.6,OPEN,256,250.53,262.7
Oswal Pumps Ltd.,Mainboard,OSWALPUMPS,INE0BYP01024,1,early pivot reclaim,2025-06-25,2025-06-26,666.0,612.72,765.9,2025-11-24,573.35,stop -8%,102,-14.91,31.2
Sacheerome Ltd.,SME,SACHEEROME,INE1ARD01016,2,early pivot reclaim,2025-06-30,2025-07-01,161.25,148.35,185.44,2026-03-23,294.1,trail (30% off peak after +15%),179,80.89,163.6
Safe Enterprises Retail Fixtures Ltd.,SME,SAFEENTP,INE17D601016,1,early pivot reclaim,2025-06-30,2025-07-01,174.75,160.77,200.96,2026-01-19,216.6,"time (120 sessions, unproven)",137,22.45,76.5
Mayasheel Ventures Ltd.,SME,MAYASHEEL,INE0ZTO01018,1,early pivot reclaim,2025-06-30,2025-07-01,63.7,58.6,73.26,2025-07-03,56.95,stop -8%,2,-12.1,0.0
Ellenbarrie Industrial Gases Ltd.,Mainboard,ELLEN,INE236E01022,1,early pivot reclaim,2025-07-03,2025-07-04,582.05,535.49,669.36,2025-08-07,529.25,stop -8%,24,-10.07,5.4
Shri Hare-Krishna Sponge Iron Ltd.,SME,SHKSIL,INE0NON01025,1,early pivot reclaim,2025-07-03,2025-07-04,69.55,63.99,79.98,2025-08-01,63.05,stop -8%,19,-10.85,17.9
HDB Financial Services Ltd.,Mainboard,HDBFS,INE756I01012,1,early pivot reclaim,2025-07-03,2025-07-04,869.7,800.12,1000.16,2025-07-18,798.8,stop -8%,10,-9.15,0.0
Dr.Agarwal's Health Care Ltd.,Mainboard,AGARWALEYE,INE943P01029,2,early pivot reclaim,2025-07-04,2025-07-07,413.0,379.96,474.95,2025-12-30,502.5,"time (120 sessions, unproven)",120,20.67,32.1
Moving Media Entertainment Ltd.,SME,MMEL,INE0XM301010,1,early pivot reclaim,2025-07-04,2025-07-07,74.5,68.54,85.68,2025-09-10,66.05,stop -8%,45,-12.84,11.3
Ace Alpha Tech Ltd.,SME,ACEALPHA,INE0S9X01011,1,early pivot reclaim,2025-07-04,2025-07-07,93.76,86.26,107.82,2025-12-29,91.0,trail (30% off peak after +15%),100,-4.44,40.2
PRO FX Tech Ltd.,SME,PROFX,INE0VJT01017,1,early pivot reclaim,2025-07-04,2025-07-07,101.85,93.7,117.13,2025-09-29,92.85,stop -8%,58,-10.34,28.8
Influx Healthtech Ltd.,SME,INFLUX,INE0MYZ01012,1,early pivot reclaim,2025-07-07,2025-07-08,144.75,133.17,166.46,2026-07-13,305.0,OPEN,248,110.71,115.8
Neetu Yoshi Ltd.,SME,NEETUYOSHI,INE0UZO01024,1,early pivot reclaim,2025-07-07,2025-07-08,121.54,111.82,139.77,2025-08-01,111.7,stop -8%,18,-9.6,20.8
Adcounty Media India Ltd.,SME,ADCOUNTY,INE0W1601012,1,early pivot reclaim,2025-07-07,2025-07-08,135.5,124.66,155.82,2025-07-16,120.83,stop -8%,6,-12.33,0.0
Sambhv Steel Tubes Ltd.,Mainboard,SAMBHV,INE12NJ01018,1,early pivot reclaim,2025-07-08,2025-07-09,116.0,106.72,133.4,2025-11-21,105.93,stop -8%,92,-9.68,20.4
Pushpa Jewellers Ltd.,SME,PUSHPA,INE154801018,1,early pivot reclaim,2025-07-08,2025-07-09,124.5,114.54,143.17,2025-12-02,104.75,stop -8%,99,-17.36,16.8
Nikita Papers Ltd.,SME,NIKITA,INE0FLF01015,2,early pivot reclaim,2025-07-09,2025-07-10,91.55,84.23,105.28,2025-07-25,82.1,stop -8%,11,-11.82,1.6
Cedaar Textile Ltd.,SME,CEDAAR,INE11J101017,1,early pivot reclaim,2025-07-09,2025-07-10,127.45,117.25,146.57,2025-08-11,116.4,stop -8%,22,-10.17,3.5
Crizac Ltd.,Mainboard,CRIZAC,INE0S4R01014,1,early pivot reclaim,2025-07-10,2025-07-11,343.02,315.58,394.47,2025-07-28,313.89,stop -8%,11,-9.49,2.9
Happy Square Outsourcing Services Ltd.,SME,WHITEFORCE,INE0TLP01015,1,early pivot reclaim,2025-07-11,2025-07-14,80.6,74.15,92.69,2025-07-16,72.8,stop -8%,2,-11.18,0.0
Cryogenic OGS Ltd.,SME,CRYOGENIC,INE0TL001013,1,early pivot reclaim,2025-07-11,2025-07-14,103.36,95.09,118.86,2026-02-25,156.1,trail (30% off peak after +15%),154,49.53,117.2
Standard Glass Lining Technology Ltd.,Mainboard,SGLTL,INE0M4D01010,3,early pivot reclaim,2025-07-14,2025-07-15,187.5,172.5,215.62,2025-08-06,172.36,stop -8%,16,-9.07,0.0
Abram Food Ltd.,SME,ABRFL,INE0ZDY01011,1,early pivot reclaim,2025-07-14,2025-07-15,99.99,91.99,114.99,2025-07-28,90.3,stop -8%,9,-11.19,0.0
Meta Infotech Ltd.,SME,METAINFO,INE162901016,1,early pivot reclaim,2025-07-14,2025-07-15,248.0,228.16,285.2,2025-07-16,223.9,stop -8%,1,-11.22,0.0
Schloss Bangalore Ltd.,Mainboard,THELEELA,INE0AQ201015,1,late bloomer (vol-confirmed),2025-07-16,2025-07-17,452.05,415.89,519.86,2025-07-31,413.8,stop -8%,10,-9.46,3.0
Indogulf Cropsciences Ltd.,Mainboard,IGCL,INE05J901018,1,early pivot reclaim,2025-07-16,2025-07-17,116.7,107.36,134.2,2025-07-28,105.96,stop -8%,7,-10.2,0.8
Travel Food Services Ltd.,Mainboard,TRAVELFOOD,INE103V01028,1,early pivot reclaim,2025-07-18,2025-07-21,1151.0,1058.92,1323.65,2025-07-31,1045.8,stop -8%,8,-10.14,2.0
Spunweb Nonwoven Ltd.,SME,SPUNWEB,INE19QH01010,1,early pivot reclaim,2025-07-22,2025-07-23,156.0,143.52,179.4,2025-07-29,142.05,stop -8%,4,-10.44,0.0
Anthem Biosciences Ltd.,Mainboard,ANTHEM,INE0CZ201020,1,early pivot reclaim,2025-07-23,2025-07-24,766.6,705.27,881.59,2025-11-03,703.1,stop -8%,68,-9.28,12.8
Smarten Power Systems Ltd.,SME,SMARTEN,INE14GK01016,1,early pivot reclaim,2025-07-25,2025-07-28,151.6,139.47,174.34,2025-07-28,137.45,stop -8%,0,-10.83,0.0
Cellecor Gadgets Ltd.,SME,CELLECOR,INE0OMO01025,2,early pivot reclaim,2025-07-29,2025-07-30,35.45,32.61,40.77,2025-08-28,32.2,stop -8%,19,-10.67,0.0
Swastika Castal Ltd.,SME,SWASTIKAAL,INE0PTF01017,1,early pivot reclaim,2025-07-29,2025-07-30,73.66,67.77,84.71,2025-12-09,64.35,stop -8%,77,-14.14,27.0
Monika Alcobev Ltd.,SME,MONIKA,INE0LCG01010,1,early pivot reclaim,2025-07-30,2025-07-31,299.25,275.31,344.14,2025-11-13,272.85,stop -8%,70,-10.32,9.9
Virtual Galaxy Infotech Ltd.,SME,VGINFOTECH,INE0VRH01015,1,late bloomer (vol-confirmed),2025-07-31,2025-08-01,203.95,187.63,234.54,2025-08-05,187.45,stop -8%,2,-9.59,0.0
Nikita Papers Ltd.,SME,NIKITA,INE0FLF01015,3,early pivot reclaim,2025-08-01,2025-08-04,93.0,85.56,106.95,2026-01-30,110.4,"time (120 sessions, unproven)",120,17.21,61.9
Savy Infra & Logistics Ltd.,SME,SAVY,INE0UCN01017,1,early pivot reclaim,2025-08-01,2025-08-04,149.5,137.54,171.92,2025-08-08,137.2,stop -8%,4,-9.73,0.0
Sellowrap Industries Ltd.,SME,SELLOWRAP,INE0IJF01013,1,early pivot reclaim,2025-08-04,2025-08-05,93.9,86.39,107.98,2025-08-07,85.95,stop -8%,2,-9.97,0.0
Neetu Yoshi Ltd.,SME,NEETUYOSHI,INE0UZO01024,2,early pivot reclaim,2025-08-05,2025-08-06,113.0,103.96,129.95,2026-01-05,102.85,stop -8%,102,-10.48,23.8
Repono Ltd.,SME,REPONO,INE15WN01014,1,early pivot reclaim,2025-08-05,2025-08-06,96.01,88.33,110.41,2025-08-11,84.39,stop -8%,3,-13.6,0.0
Kaytex Fabrics Ltd.,SME,KAYTEX,INE13ZD01013,1,early pivot reclaim,2025-08-06,2025-08-07,145.5,133.86,167.32,2025-08-11,132.6,stop -8%,2,-10.37,0.0
Laxmi India Finance Ltd.,Mainboard,LAXMIINDIA,INE06WU01026,1,early pivot reclaim,2025-08-07,2025-08-08,149.0,137.08,171.35,2025-08-14,131.85,stop -8%,4,-12.51,8.7
Aditya Infotech Ltd.,Mainboard,CPPLUS,INE819V01029,1,early pivot reclaim,2025-08-07,2025-08-08,1150.0,1058.0,1322.5,2025-08-14,1057.05,stop -8%,4,-9.08,0.0
Sri Lotus Developers & Realty Ltd.,Mainboard,LOTUSDEV,INE0V9Q01010,1,early pivot reclaim,2025-08-07,2025-08-08,195.0,179.4,224.25,2025-09-11,178.33,stop -8%,22,-9.55,7.6
National Securities Depository Ltd.,Mainboard,NSDL,INE301O01023,1,early pivot reclaim,2025-08-07,2025-08-08,1160.0,1067.2,1334.0,2025-11-06,1057.8,stop -8%,59,-9.81,15.7
Adcounty Media India Ltd.,SME,ADCOUNTY,INE0W1601012,2,early pivot reclaim,2025-08-08,2025-08-11,154.0,141.68,177.1,2025-11-13,187.15,trail (30% off peak after +15%),62,20.03,77.8
Shanti Gold International Ltd.,Mainboard,SHANTIGOLD,INE06ZD01017,1,early pivot reclaim,2025-08-08,2025-08-11,241.0,221.72,277.15,2025-08-29,219.72,stop -8%,12,-9.83,5.0
M&B Engineering Ltd.,Mainboard,MBEL,INE08N601015,1,early pivot reclaim,2025-08-08,2025-08-11,432.5,397.9,497.37,2025-09-26,389.35,stop -8%,32,-10.98,8.1
Flysbs Aviation Ltd.,SME,FLYSBS,INE0VCK01011,1,early pivot reclaim,2025-08-11,2025-08-12,494.8,455.22,569.02,2026-01-12,477.1,trail (30% off peak after +15%),103,-5.08,42.5
Travel Food Services Ltd.,Mainboard,TRAVELFOOD,INE103V01028,2,early pivot reclaim,2025-08-12,2025-08-13,1138.0,1046.96,1308.7,2026-01-27,1043.7,stop -8%,111,-9.29,22.0
Shree Refrigerations Ltd.,SME,SHREEREF,INE0FMZ01045,1,early pivot reclaim,2025-08-12,2025-08-13,186.0,171.12,213.9,2025-11-13,196.45,trail (30% off peak after +15%),61,4.12,55.2
Parth Electricals & Engineering Ltd.,SME,PARTH,INE1H7V01011,1,early pivot reclaim,2025-08-12,2025-08-13,201.35,185.24,231.55,2025-12-12,199.4,trail (30% off peak after +15%),82,-2.47,41.5
Aaradhya Disposal Industries Ltd.,SME,AARADHYA,INE124401014,1,early pivot reclaim,2025-08-12,2025-08-13,120.95,111.27,139.09,2025-08-14,111.15,stop -8%,1,-9.6,0.0
Crizac Ltd.,Mainboard,CRIZAC,INE0S4R01014,2,early pivot reclaim,2025-08-13,2025-08-14,337.7,310.68,388.35,2025-09-24,308.95,stop -8%,27,-9.51,10.8
Bhadora Industries Ltd.,SME,BHADORA,INE0ZRC01017,1,early pivot reclaim,2025-08-13,2025-08-14,108.7,100.0,125.0,2025-08-18,98.8,stop -8%,1,-10.61,0.0
Highway Infrastructure Ltd.,Mainboard,HILINFRA,INE00RL01028,1,early pivot reclaim,2025-08-13,2025-08-14,131.4,120.89,151.11,2025-08-14,120.44,stop -8%,0,-9.34,0.0
Schloss Bangalore Ltd.,Mainboard,THELEELA,INE0AQ201015,2,early pivot reclaim,2025-08-14,2025-08-18,438.05,403.01,503.76,2025-08-28,396.65,stop -8%,7,-10.45,1.0
Sawaliya Foods Products Ltd.,SME,SAWALIYA,INE10VS01016,1,early pivot reclaim,2025-08-18,2025-08-19,259.0,238.28,297.85,2025-08-20,236.6,stop -8%,1,-10.15,0.0
Smartworks Coworking Spaces Ltd.,Mainboard,SMARTWORKS,INE0NAZ01010,1,early pivot reclaim,2025-08-19,2025-08-20,482.0,443.44,554.3,2025-12-08,437.6,stop -8%,74,-10.21,25.9
TSC India Ltd.,SME,TSC,INE16VK01010,1,early pivot reclaim,2025-08-19,2025-08-20,75.0,69.0,86.25,2025-08-26,67.5,stop -8%,4,-11.5,0.0
Brigade Hotel Ventures Ltd.,Mainboard,BRIGHOTEL,INE03NU01014,1,early pivot reclaim,2025-08-19,2025-08-20,91.4,84.09,105.11,2025-08-25,83.72,stop -8%,3,-9.4,0.0
Umiya Mobile Ltd.,SME,UML,INE1P1A01018,1,early pivot reclaim,2025-08-19,2025-08-20,73.0,67.16,83.95,2025-09-15,65.05,stop -8%,16,-12.39,11.2
Aditya Infotech Ltd.,Mainboard,CPPLUS,INE819V01029,2,early pivot reclaim,2025-08-19,2025-08-20,1124.95,1034.95,1293.69,2026-07-13,3639.4,OPEN,218,223.52,230.1
B.D.Industries (Pune) Ltd.,SME,BDI,INE1LJ801017,1,early pivot reclaim,2025-08-19,2025-08-20,114.45,105.29,131.62,2026-02-12,105.0,stop -8%,97,-9.76,10.8
JSW Cement Ltd.,Mainboard,JSWCEMENT,INE718I01012,1,early pivot reclaim,2025-08-19,2025-08-20,157.0,144.44,180.55,2025-09-25,143.85,stop -8%,25,-9.38,1.4
ANB Metal Cast Ltd.,SME,AMCL,INE0VG001016,1,early pivot reclaim,2025-08-19,2025-08-20,175.05,161.05,201.31,2026-07-02,363.75,trail (30% off peak after +15%),199,106.3,205.4
Cedaar Textile Ltd.,SME,CEDAAR,INE11J101017,2,early pivot reclaim,2025-08-20,2025-08-21,121.5,111.78,139.72,2025-09-09,107.05,stop -8%,12,-13.39,0.3
Sellowrap Industries Ltd.,SME,SELLOWRAP,INE0IJF01013,2,early pivot reclaim,2025-08-20,2025-08-21,103.95,95.63,119.54,2025-11-03,94.6,stop -8%,46,-10.49,25.5
BlueStone Jewellery & Lifestyle Ltd.,Mainboard,BLUESTONE,INE304W01038,1,early pivot reclaim,2025-08-20,2025-08-21,569.3,523.76,654.69,2025-08-28,522.6,stop -8%,4,-9.2,0.0
Hexaware Technologies Ltd.,Mainboard,HEXT,INE093A01041,3,early pivot reclaim,2025-08-21,2025-08-22,808.95,744.23,930.29,2025-09-04,730.3,stop -8%,8,-10.72,2.0
Mayasheel Ventures Ltd.,SME,MAYASHEEL,INE0ZTO01018,2,early pivot reclaim,2025-08-21,2025-08-22,62.5,57.5,71.88,2025-08-29,57.05,stop -8%,4,-10.22,0.0
Bhadora Industries Ltd.,SME,BHADORA,INE0ZRC01017,2,early pivot reclaim,2025-08-21,2025-08-22,114.2,105.06,131.33,2025-08-25,104.45,stop -8%,1,-10.04,0.0
Indogulf Cropsciences Ltd.,Mainboard,IGCL,INE05J901018,2,early pivot reclaim,2025-08-22,2025-08-25,115.65,106.4,133.0,2025-08-29,105.57,stop -8%,3,-9.72,0.0
Indiqube Spaces Ltd.,Mainboard,INDIQUBE,INE06ST01018,1,early pivot reclaim,2025-08-22,2025-08-25,228.77,210.47,263.09,2025-11-06,205.64,stop -8%,49,-11.11,4.0
Aaradhya Disposal Industries Ltd.,SME,AARADHYA,INE124401014,2,early pivot reclaim,2025-08-22,2025-08-25,116.5,107.18,133.98,2025-11-20,123.85,trail (30% off peak after +15%),54,4.81,51.9
GNG Electronics Ltd.,Mainboard,EBGNG,INE18JU01028,1,early pivot reclaim,2025-08-25,2025-08-26,370.05,340.45,425.56,2025-08-28,337.85,stop -8%,1,-9.7,0.0
All Time Plastics Ltd.,Mainboard,ALLTIME,INE0GV601021,1,early pivot reclaim,2025-08-25,2025-08-26,329.0,302.68,378.35,2025-08-28,296.85,stop -8%,1,-10.77,0.0
Sawaliya Foods Products Ltd.,SME,SAWALIYA,INE10VS01016,2,early pivot reclaim,2025-08-28,2025-08-29,247.7,227.88,284.85,2025-09-29,226.35,stop -8%,21,-10.12,2.6
Mayasheel Ventures Ltd.,SME,MAYASHEEL,INE0ZTO01018,3,early pivot reclaim,2025-09-01,2025-09-02,62.0,57.04,71.3,2025-09-12,56.75,stop -8%,7,-9.97,0.0
Connplex Cinemas Ltd.,SME,CONNPLEX,INE0EAS01014,1,early pivot reclaim,2025-09-01,2025-09-02,210.0,193.2,241.5,2025-09-04,181.9,stop -8%,2,-14.88,0.0
Star Imaging & Path Lab Ltd.,SME,STARIMAGIN,INE0YG001013,1,early pivot reclaim,2025-09-01,2025-09-02,147.0,135.24,169.05,2025-09-05,133.3,stop -8%,3,-10.82,0.0
Anondita Medicare Ltd.,SME,ANONDITA,INE0VTV01012,1,early pivot reclaim,2025-09-02,2025-09-03,318.85,293.34,366.68,2026-02-20,711.0,trail (30% off peak after +15%),94,121.49,223.9
GNG Electronics Ltd.,Mainboard,EBGNG,INE18JU01028,2,early pivot reclaim,2025-09-03,2025-09-04,364.5,335.34,419.17,2025-10-10,335.2,stop -8%,25,-9.04,7.2
Laxmi India Finance Ltd.,Mainboard,LAXMIINDIA,INE06WU01026,2,early pivot reclaim,2025-09-03,2025-09-04,159.38,146.63,183.29,2025-10-03,146.36,stop -8%,20,-9.17,10.3
BlueStone Jewellery & Lifestyle Ltd.,Mainboard,BLUESTONE,INE304W01038,2,early pivot reclaim,2025-09-04,2025-09-05,590.95,543.67,679.59,2025-12-05,527.9,stop -8%,62,-11.67,28.8
Sattva Engineering Construction Ltd.,SME,SATTVAENGG,INE14DW01018,1,early pivot reclaim,2025-09-04,2025-09-05,100.3,92.28,115.34,2025-10-07,92.1,stop -8%,21,-9.68,14.3
Ellenbarrie Industrial Gases Ltd.,Mainboard,ELLEN,INE236E01022,2,early pivot reclaim,2025-09-08,2025-09-09,540.9,497.63,622.04,2025-09-25,497.05,stop -8%,12,-9.11,2.2
Indogulf Cropsciences Ltd.,Mainboard,IGCL,INE05J901018,3,early pivot reclaim,2025-09-08,2025-09-09,116.4,107.09,133.86,2025-09-18,106.63,stop -8%,7,-9.39,0.0
Vikran Engineering Ltd.,Mainboard,VIKRAN,INE01R501028,1,early pivot reclaim,2025-09-09,2025-09-10,106.2,97.7,122.13,2025-09-26,96.99,stop -8%,12,-9.67,8.2
Spunweb Nonwoven Ltd.,SME,SPUNWEB,INE19QH01010,2,early pivot reclaim,2025-09-10,2025-09-11,150.05,138.05,172.56,2025-12-08,138.0,stop -8%,59,-9.53,13.1
Amanta Healthcare Ltd.,Mainboard,AMANTA,INE084K01015,1,early pivot reclaim,2025-09-10,2025-09-11,145.98,134.3,167.88,2025-10-09,132.96,stop -8%,19,-9.92,0.6
Goel Construction Co.Ltd.,SME,GOELCONS,INE0ZOM01013,1,early pivot reclaim,2025-09-10,2025-09-11,316.1,290.81,363.52,2026-01-19,287.25,stop -8%,87,-10.63,15.5
