isin,day,fwd20,fwd60,vol_change_pct
INE0P4T01013,476,-28.720836685438456,-45.695897023330645,68.7719298245614
INE0P4T01013,527,-14.644351464435147,20.502092050209207,62.139917695473244
INE0P4T01013,540,2.4844720496894235,10.248447204968937,10.476190476190483
INE0P4T01013,592,-12.569832402234626,-15.78212290502793,-52.851711026615966
INE0P4T01013,596,-18.78531073446328,-8.192090395480223,-42.80155642023347
INE0P4T01013,603,-16.44444444444445,,-1.4285714285714235
INE0P4T01013,613,4.033613445378159,,66.42335766423358
INE0P4T01013,615,-0.991735537190086,,44.594594594594604
INE0P4T01013,622,7.434944237918217,,-19.68911917098446
INE0P5R01014,107,20.60673325934146,43.91416944136144,-20.07575757575758
INE0P5R01014,134,0.09803921568627416,19.047619047619047,-50.259067357512954
INE0P5R01014,175,-5.001091941471936,6.136711072286527,-31.25
INE0P5R01014,177,-7.919238414060037,-2.32241866304006,-24.462365591397848
INE0P5R01014,192,34.65017748769039,-8.599564868888121,-6.666666666666665
INE0P5R01014,217,-12.16368767638758,-30.423330197554087,15.327793167128355
INE0P5R01014,312,15.565487757481545,64.01088223863194,14.24346968950221
INE0P5R01014,347,9.125865162778757,-5.0371699564214385,-36.66746814138014
INE0P5R01014,357,15.42250852595679,,-37.31884057971014
INE0P5R01014,370,-22.4985994397759,,-31.026346834447505
INE0P5R01014,373,-28.066809615167585,,-38.83531157270029
INE0P5R01014,400,,,43.63961547060138
INE0P8B01020,42,-12.092833876221498,11.970684039087942,-93.00117350035748
INE0P8B01020,62,8.290875405280218,,-48.751770876621
INE0P8B01020,92,-14.292669355960497,,-21.38501593000839
INE0P8B01020,99,,,-67.49591475080314
INE0P9J01013,72,-0.5418243895197739,117.08602389965117,-64.38653637350707
INE0P9J01013,101,21.8995765275257,117.31531894871279,56.042031523642734
INE0P9J01013,121,54.43065894678798,70.54314860766475,39.64646464646464
INE0P9J01013,155,18.211610486891374,-12.2803226735811,14.022517911975442
INE0PCY01014,21,-7.008322382829613,-14.673674989049502,-67.25243410116362
INE0PCY01014,27,-19.343252950230895,-6.6187788609543325,-77.685546875
INE0PCY01014,31,-18.954545454545446,-16.86363636363636,-73.2554467950742
INE0PCY01014,46,1.5114873035066534,20.012091898428054,27.611168562564625
INE0PCY01014,147,13.890037205456807,26.66391070690366,-26.29969418960245
INE0PCY01014,165,7.807308970099669,0.8637873754152814,29.303278688524582
INE0PCY01014,186,-9.251101321585908,-12.628487518355358,0.560897435897445
INE0PCY01014,201,3.1729428172942775,-16.80613668061367,-49.745870393900894
INE0PCY01014,264,-17.204776647501106,-20.389208314904906,-48.36759371221282
INE0PCY01014,288,9.49720670391061,39.60893854748604,102.99401197604791
INE0PCY01014,293,4.329461457233363,11.298838437170012,76.97974217311234
INE0PCY01014,295,10.427350427350435,10.712250712250725,71.04795737122558
INE0PCY01014,305,-0.9350935093509483,15.016501650165015,-66.53919694072657
INE0PCY01014,619,,,362.0586025544703
INE0PDJ01013,318,-28.400342172797266,-9.067579127459368,292.82296650717706
INE0PDJ01013,332,-4.99419279907084,3.019744483159137,3.842459173871271
INE0PDJ01013,337,2.2556390977443552,19.423558897243097,-64.02831402831403
INE0PDJ01013,346,35.45454545454545,12.597402597402606,-80.25806451612904
INE0PDJ01013,366,-9.683604985618398,-17.641418983700852,5.555555555555558
INE0PDJ01013,374,-13.439849624060162,-14.191729323308277,-34.261838440111426
INE0PDJ01013,620,20.614035087719284,,131.06060606060606
INE0PDJ01013,635,34.71849865951744,,62.2568093385214
INE0PDJ01013,640,13.939393939393941,,64.26229508196721
INE0PDJ01013,649,42.37074401008829,,136.27450980392157
INE0PE401018,100,-4.595588235294112,-48.06985294117647,-15.107913669064743
INE0PE401018,102,-11.158798283261806,-55.36480686695279,-14.093959731543626
INE0PE401018,107,-16.12627986348123,-59.55631399317407,6.944444444444442
INE0PE401018,151,-40.313390313390315,10.113960113960108,175.15151515151516
INE0PE401018,168,30.30973451327432,111.50442477876106,-2.5495750708215303
INE0PE401018,180,10.379241516966054,63.67265469061876,-79.19320594479831
INE0PE401018,188,13.58234295415961,29.20203735144311,-70.93023255813952
INE0PE401018,211,16.558861578266495,-5.692108667529094,35.57692307692308
INE0PE401018,220,-9.191583610188259,-24.584717607973428,1.4084507042253502
INE0PE401018,263,-6.983240223463683,-28.49162011173183,-44.19889502762431
INE0PE401018,284,0.0,-23.222748815165872,-16.346153846153843
INE0PE401018,306,-9.090909090909093,-10.839160839160844,29.21348314606742
INE0PE401018,311,-8.363636363636362,-12.727272727272732,-3.0000000000000027
INE0PE401018,315,-10.707803992740473,-20.871143375680578,-43.90243902439024
INE0PE401018,341,26.535087719298247,30.263157894736835,125.42372881355934
INE0PE401018,354,-14.071294559099435,-2.4390243902438935,37.09677419354838
INE0PE401018,363,-7.0881226053639885,-8.045977011494255,53.846153846153854
INE0PE401018,377,32.53588516746413,9.569377990430628,59.8901098901099
INE0PE401018,388,31.51927437641724,0.6802721088435382,4.615384615384621
INE0PE401018,393,6.557377049180335,-6.147540983606559,11.688311688311682
INE0PE401018,436,15.299334811529919,,-16.836734693877553
INE0PE401018,438,6.25,,-13.592233009708742
INE0PE401018,442,9.036144578313255,,-19.021739130434778
INE0PE401018,463,,,-37.426210153482884
INE0PEQ01016,156,3.316770186335405,21.739130434782616,-10.179737224614849
INE0PEQ01016,162,10.410094637223978,9.533123028391177,-33.78227620728974
INE0PEQ01016,216,1.4234693877551052,2.214285714285724,-48.3150492837474
INE0PEQ01016,254,-12.936218778806897,-41.9867433387472,37.51091435220681
INE0PEQ01016,270,-16.256076910471396,-27.568689572294748,-2.287282458212636
INE0PEQ01016,318,3.579883779324211,0.2797905158189451,-54.09300874797399
INE0PEQ01016,327,8.407247365628079,5.670532939125161,-60.85196592834565
INE0PEQ01016,339,1.6637240255330754,-12.141790031237266,-5.271407278155261
INE0PLQ01011,84,-5.782548476454286,-6.336565096952917,-3.539823008849563
INE0PLQ01011,136,10.047846889952151,159.56937799043064,-12.790697674418606
INE0PLQ01011,179,98.37821297429619,110.12851897184821,249.89648033126292
INE0PLX01017,165,67.08955223880596,,36.820925553319924
INE0PLX01017,193,,,-64.06619385342789
INE0PMR01017,268,101.88053097345136,111.68879056047199,-73.53135313531354
INE0PMR01017,272,78.1422539785645,76.09613510880158,-60.925644916540215
INE0PMR01017,283,19.972099511741458,19.50709137409905,-0.6711409395973145
